name,ra,dec,lii,bii,cluster_radius,pm_ra,pm_dec,rad_vel,rad_vel_error,num_cluster_stars,distance
MWSC 4688,357.975,-86.72,303.907,-30.295,  0.185,   3.20,  -5.00,,,     57,    1336
MWSC 5684,193.429,-86.648,302.968,-23.776,  0.155, -13.04,   0.17,,,     52,    1432
MWSC 5692,266.835,-86.61,306.562,-26.146,  0.135,  -6.22,  -9.02,,,     28,    1555
MWSC 4005,2.865,-85.48,303.852,-31.577,  0.165,   9.31,  -1.47,,,     42,    1159
MWSC 4176,216.825,-85.42,304.95,-22.929,  0.280,  -9.41,   0.12,,,    155,    1093
ESO 008-06,224.227,-83.445,306.593,-21.485,  0.185,  -5.26,  -4.21,,,     78,    1380
MWSC 4219,235.56,-83.195,307.905,-22.041,  0.200,  -9.26,  -3.14,,,     95,    1606
MWSC 5575,29.925,-83.05,300.484,-33.751,  0.150,   6.33,  -2.50,,,     20,    2191
MWSC 4682,355.845,-82.96,305.407,-33.838,  0.190,   5.87,   0.28,,,     58,    1065
MWSC 5685,196.35,-82.043,303.443,-19.185,  0.160,  -3.12,  -2.73,,,     64,    1581
MWSC 5681,160.447,-82.005,298.373,-20.307,  0.115,  -8.28,   4.40,,,     41,    1700
FSR 1626,185.025,-81.51,301.714,-18.712,  0.200,  -6.84,   1.92,,,    109,    2671
FSR 1631,191.43,-81.258,302.703,-18.389,  0.180,  -6.22,  -2.52,,,    100,    1456
FSR 1629,188.73,-80.95,302.249,-18.1,  0.170,  -9.08,  -1.46,,,     78,    3597
MWSC 5688,231.495,-80.13,309.442,-19.273,  0.105,  -6.58,  -8.25,,,     25,    1236
ESO 026-02,306.659,-80,313.587,-30.758,  0.160,   4.69,  -4.09,,,     44,    2473
MWSC 4137,141.548,-79.74,294.398,-20.463,  0.180,  -4.09,   8.78,,,     83,    1209
Melotte 227,304.2,-79.04,314.806,-30.613,  0.330,   4.61,  -7.30,,,    137,    2218
MWSC 5679,143.25,-78.97,294.027,-19.708,  0.155,  -3.67,   6.21,,,     51,    1122
MWSC 5572,28.575,-78.965,299.175,-37.701,  0.140,   3.27, -11.38,,,     14,    1472
MWSC 5749,308.04,-78.615,315.019,-31.45,  0.150,   4.00,  -3.90,,,     47,    1890
ESO 021-06,213.966,-78.515,307.217,-16.352,  0.165,  -3.04,  -5.85,,,     89,    2473
MWSC 5672,108.832,-78.44,290.191,-25.352,  0.135,  -6.55,  10.11,,,     33,    1288
MWSC 4114,91.965,-78.22,289.716,-28.732,  0.240,   0.23,   5.86,,,     60,     962
MWSC 5680,145.95,-78.205,293.86,-18.788,  0.150,  -3.54,   3.37,,,     59,    1050
FSR 1607,173.25,-77.825,298.718,-15.6,  0.150,  -8.99,  -1.53,,,     69,    1561
MWSC 5698,280.455,-77.723,316.599,-25.952,  0.150,   4.00,  -1.16,,,     49,    2069
FSR 1675,242.62,-77.66,312.857,-18.819,  0.135,  -4.02,  -6.28,,,     53,    5666
MWSC 4140,144.15,-77.48,293.04,-18.532,  0.225,  -3.25,   3.26,,,    112,    2465
FSR 1640,197.977,-77.45,304.08,-14.624,  0.155, -14.11,  -0.42,,,     78,    6213
FSR 1579,138.42,-77.425,292.108,-19.412,  0.150,  -5.36,   1.45,,,     65,    1000
Chamaleon I,165.9,-77.34,297.007,-15.726,  0.360,  -6.50,   8.89,,,     75,     380
MWSC 4668,344.235,-77.17,310.709,-38.176,  0.180,   8.19,  -5.04,,,     22,     775
FSR 1639,197.317,-77.135,303.955,-14.299,  0.195, -15.29,  -3.86,,,     80,    7943
NGC 1520,59.468,-76.8,291.141,-35.701,  0.130,   4.96,  -3.37,,,     10,    1023
FSR 1577,142.192,-76.085,291.661,-17.875,  0.150,  -4.92,   1.35,,,     81,    1561
FSR 1598,170.775,-75.015,297.203,-13.135,  0.110,  -9.20,   1.88,,,     58,    3575
MWSC 5676,130.477,-74.765,288.644,-19.362,  0.145,  -3.29,   4.86,,,     58,    1604
